,Date,Open,High,Low,Close,Adj Close,Volume,ticker
0,2022-12-01,197.080002,198.919998,191.800003,194.699997,194.699997,80046200,TSLA
1,2022-12-02,191.779999,196.25,191.110001,194.860001,194.860001,73645900,TSLA
2,2022-12-05,189.440002,191.270004,180.550003,182.449997,182.449997,93122700,TSLA
3,2022-12-06,181.220001,183.649994,175.330002,179.820007,179.820007,92150800,TSLA
4,2022-12-07,175.029999,179.380005,172.220001,174.03999299999998,174.03999299999998,84213300,TSLA
5,2022-12-08,172.199997,175.199997,169.059998,173.440002,173.440002,97624500,TSLA
6,2022-12-09,173.83999599999999,182.5,173.360001,179.050003,179.050003,104872300,TSLA
7,2022-12-12,176.100006,177.369995,167.520004,167.820007,167.820007,109794500,TSLA
8,2022-12-13,174.869995,175.050003,156.91000400000001,160.949997,160.949997,175862700,TSLA
9,2022-12-14,159.25,161.619995,155.309998,156.800003,156.800003,140682300,TSLA
10,2022-12-15,153.440002,160.929993,153.279999,157.669998,157.669998,122334500,TSLA
11,2022-12-16,159.639999,160.990005,150.03999299999998,150.229996,150.229996,139032200,TSLA
12,2022-12-19,154.0,155.25,145.820007,149.869995,149.869995,139390600,TSLA
13,2022-12-20,146.050003,148.470001,137.66000400000001,137.800003,137.800003,159563300,TSLA
14,2022-12-21,139.33999599999999,141.259995,135.889999,137.570007,137.570007,145417400,TSLA
15,2022-12-22,136.0,136.630005,122.260002,125.349998,125.349998,210090300,TSLA
16,2022-12-23,126.370003,128.619995,121.019997,123.150002,123.150002,166989700,TSLA
17,2022-12-27,117.5,119.66999799999999,108.760002,109.099998,109.099998,208643400,TSLA
18,2022-12-28,110.349998,116.269997,108.239998,112.709999,112.709999,221070500,TSLA
19,2022-12-29,120.389999,123.57,117.5,121.82,121.82,221923300,TSLA
20,2022-12-30,119.949997,124.480003,119.75,123.18,123.18,157304500,TSLA
21,2023-01-03,118.470001,118.800003,104.639999,108.099998,108.099998,231402800,TSLA
22,2023-01-04,109.110001,114.589996,107.519997,113.639999,113.639999,180389000,TSLA
23,2023-01-05,110.510002,111.75,107.160004,110.339996,110.339996,157986300,TSLA
24,2023-01-06,103.0,114.389999,101.809998,113.059998,113.059998,220575900,TSLA
25,2023-01-09,118.959999,123.519997,117.110001,119.769997,119.769997,190284000,TSLA
26,2023-01-10,121.07,122.760002,114.91999799999999,118.849998,118.849998,167642500,TSLA
27,2023-01-11,122.089996,125.949997,120.510002,123.220001,123.220001,183810800,TSLA
28,2023-01-12,122.559998,124.129997,117.0,123.559998,123.559998,169400900,TSLA
29,2023-01-13,116.550003,122.629997,115.599998,122.400002,122.400002,180439300,TSLA
